Pregunta 1,Respuesta 1,Pregunta 2,Respuesta 2,Pregunta 3,Respuesta 3,Pregunta 4,Respuesta 4,Pregunta 5,Respuesta 5,Pregunta 6,Respuesta 6,Pregunta 7,Respuesta 7
¿Cuántos días tiene un año bisiesto?,366,¿Color de las hojas en primavera?,Verde,¿Autor de "Romeo y Julieta"?,Shakespeare,¿Satélite natural de la Tierra?,Luna,¿Año de la caída del Muro de Berlín?,1989,¿Elemento químico O?,Oxígeno,¿Mejor cantante de todos los tiempos?,Freddie Mercury
¿Cuántos huesos tiene el cuerpo humano?,206,¿Color del sol?,Amarillo,¿Autor de "1984"?,Orwell,¿Planeta más cercano a la Tierra?,Venus,¿Año del descubrimiento de América?,1492,¿Elemento químico Na?,Sodio,¿Mejor banda de rock de la historia?,The Beatles
¿Cuántos continentes hay?,7,¿Color de la sangre?,Rojo,¿Autor de "La Odisea"?,Homero,¿Gas más abundante en la atmósfera?,Nitrógeno,¿Año de la Revolución Francesa?,1789,¿Elemento químico Ag?,Plata,¿Mejor película de ciencia ficción?,Blade Runner
¿Cuántos planetas hay en el sistema solar?,8,¿Color de las nubes?,Blanco,¿Autor de "El Principito"?,Saint-Exupéry,¿Lengua más hablada del mundo?,Mandarín,¿Año de la independencia de México?,1810,¿Elemento químico Hg?,Mercurio,¿Mejor pintor de todos los tiempos?,Da Vinci
¿Cuántos océanos hay?,5,¿Color de la leche?,Blanco,¿Autor de "Crimen y Castigo"?,Dostoievski,¿País más grande del mundo?,Rusia,¿Año de la caída del Imperio Romano?,476,¿Elemento químico K?,Potasio,¿Mejor escritor del siglo XX?,Kafka
¿Cuántos días tiene una semana?,7,¿Color de las bananas maduras?,Amarillo,¿Autor de "Drácula"?,Stoker,¿Río más largo del mundo?,Amazonas,¿Año de la invención del teléfono?,1876,¿Elemento químico Pb?,Plomo,¿Mejor videojuego de la historia?,Tetris
¿Cuántos lados tiene un triángulo?,3,¿Color de las flores de lavanda?,Morado,¿Autor de "Orgullo y Prejuicio"?,Austen,¿Monte más alto del mundo?,Everest,¿Año de la primera Guerra Mundial?,1914,¿Elemento químico Cu?,Cobre,¿Mejor invento del siglo XX?,Internet
¿Cuántos meses tiene un año?,12,¿Color de las zanahorias?,Naranja,¿Autor de "El retrato de Dorian Gray"?,Wilde,¿Ciudad más poblada del mundo?,Tokio,¿Año de la llegada del hombre a la Luna?,1969,¿Elemento químico Sn?,Estaño,¿Mejor deporte del mundo?,Fútbol
¿Cuántos sentidos tiene el ser humano?,5,¿Color de las hojas en otoño?,Marrón,¿Autor de "Los miserables"?,Hugo,¿País con más islas del mundo?,Suecia,¿Año de la fundación de Roma?,753 a.C.,¿Elemento químico Zn?,Zinc,¿Mejor película animada de Disney?,El Rey León
¿Cuántos corazones tiene un pulpo?,3,¿Color de las flores de girasol?,Amarillo,¿Autor de "El gran Gatsby"?,Fitzgerald,¿Animal más rápido del mundo?,Guepardo,¿Año de la invención de la imprenta?,1440,¿Elemento químico Fe?,Hierro,¿Mejor serie de televisión?,Breaking Bad
¿Cuántos años tiene un siglo?,100,¿Color de las flores de amapola?,Rojo,¿Autor de "El señor de los anillos"?,Tolkien,¿País con más pirámides?,Egipto,¿Año de la Revolución Rusa?,1917,¿Elemento químico He?,Helio,¿Mejor plataforma de streaming?,Netflix
¿Cuántos lados tiene un triángulo?,Tres,¿Cuántos continentes hay en el mundo?,Siete,¿En qué año llegó Colón a América?,1492,¿Qué planeta es el más grande?,Júpiter,¿Cuál es el metal más ligero?,Litio,¿En qué año cayó Tenochtitlán?,1521,¿Qué país tiene mejor gastronomía?,Italia
¿Cuántos colores tiene el arcoíris?,Siete,¿Cuántas patas tiene una araña?,Ocho,¿Qué gas respiramos para vivir?,Oxígeno,¿Cuántos huesos tiene un humano?,206,¿Cuál es el océano más grande?,Pacífico,¿Qué número atómico tiene el oro?,79,¿Quién fue el mejor futbolista?,Pelé
¿Cuántas patas tiene un perro?,Cuatro,¿Cuántas horas tiene un día?,24,¿Qué océano rodea a Australia?,Pacífico,¿Quién pintó la Mona Lisa?,Da Vinci,¿Qué país tiene más pirámides?,Sudán,¿Qué científico creó la relatividad?,Einstein,¿Es la Tierra plana o redonda?,Redonda
¿Cuántos ojos tiene un ser humano?,Dos,¿De qué color es el sol?,Blanco,¿Qué animal es el rey de la selva?,León,¿En qué país nació el tango?,Argentina,¿Qué elemento tiene símbolo Fe?,Hierro,¿Quién descubrió la penicilina?,Fleming,¿Qué idioma es más útil?,Inglés
¿Cuántos brazos tiene una estrella de mar?,Cinco,¿Cuántas lunas tiene la Tierra?,Una,¿Cuántos centímetros tiene un metro?,100,¿Cuál es el país más grande?,Rusia,¿Qué es más rápido, luz o sonido?,Luz,¿Quién escribió "1984"?,Orwell,¿Qué civilización fue más avanzada?,Egipcios
¿Cuántos dedos tiene una mano?,Cinco,¿Cuántas cuerdas tiene una guitarra?,Seis,¿Cuál es la capital de Italia?,Roma,¿Cuántos años tiene un siglo?,100,¿Quién formuló la gravedad?,Newton,¿Cuál es el hueso más fuerte?,Fémur,¿Qué país domina el mundo?,EE.UU.
¿Cuántos lados tiene un cuadrado?,Cuatro,¿Qué gas exhalamos al respirar?,CO₂,¿En qué país está Machu Picchu?,Perú,¿Cuál es el símbolo químico del agua?,H₂O,¿En qué año fue la Revolución Francesa?,1789,¿Qué matemático creó el cálculo?,Newton,¿Cuál es el mejor género musical?,Rock
¿De qué color es el cielo?,Azul,¿Cuántas estaciones tiene un año?,Cuatro,¿Qué país inventó el sushi?,Japón,¿Cuál es el país con más habitantes?,China,¿Qué país tiene más volcanes?,Indonesia,¿Quién desarrolló la teoría cuántica?,Planck,¿Qué actor es el mejor de todos?,DiCaprio
¿Cuántos dedos tiene un pie?,Cinco,¿Cuál es el quinto planeta?,Júpiter,¿Cuántas franjas tiene la bandera de EE.UU.?,13,¿Quién escribió "El Quijote"?,Cervantes,¿Cuál es el desierto más grande?,Antártico,¿Quién descubrió América?,Colón,¿Qué religión es la verdadera?,Ninguna
¿Cuántos hemisferios tiene la Tierra?,Dos,¿Cuántos corazones tiene un pulpo?,Tres,¿Dónde está la Torre Eiffel?,Francia,¿Cuál es la capital de México?,CDMX,¿Qué país tiene más islas?,Suecia,¿Cuál es la ecuación de Einstein?,E=mc²,¿Qué país ganará el próximo mundial?,Argentina
¿Cuántos colores tiene un semáforo?	Tres	¿Cuál es el océano más grande?	Pacífico	¿Quién pintó "La última cena"?	Da Vinci	¿Cuál es el río más largo de México?	Bravo	¿En qué año terminó la Segunda Guerra Mundial?	1945	¿Cuál es el metal más pesado?	Osmio	¿Debe abolirse la monarquía?	Sí o No
¿Cuántos lados tiene un cuadrado?	Cuatro	¿Cuál es la moneda de EE.UU.?	Dólar	¿Quién escribió "Cien años de soledad"?	García Márquez	¿En qué estado está Chichén Itzá?	Yucatán	¿Cuánto mide el Everest?	8849 m	¿Cuál es el gas más ligero?	Hidrógeno	¿Quién fue el mejor presidente de México?	Benito Juárez
¿De qué color es la leche?	Blanco	¿Cuántos días tiene febrero?	28 o 29	¿Cuál es el metal de los cables eléctricos?	Cobre	¿En qué año inició la Revolución Mexicana?	1910	¿Quién descubrió la electricidad?	Franklin	¿Qué órgano filtra la sangre?	Riñón	¿Fue real el alunizaje de 1969?	Sí o No
¿Cuántas patas tiene un caballo?	Cuatro	¿Cuántos continentes existen?	Siete	¿Cuál es el número atómico del carbono?	6	¿Quién fue el primer emperador romano?	Augusto	¿Qué país tiene más zonas horarias?	Francia	¿Cuál es el idioma más hablado?	Inglés	¿Quién tiene más impacto, Marx o Adam Smith?	Opinión
¿Cuántos días tiene una semana?	Siete	¿Cuál es el planeta más grande?	Júpiter	¿Cuál es la capital de Canadá?	Ottawa	¿Cuál es el símbolo químico del oro?	Au	¿Quién formuló la teoría de la evolución?	Darwin	¿Cuál es el músculo más fuerte?	Masetero	¿Es la IA un peligro para la humanidad?	Sí o No
¿Cuántos ojos tiene una araña?	Ocho	¿Qué planeta es rojo?	Marte	¿Qué gas necesitamos para vivir?	Oxígeno	¿Cuál es el desierto más grande?	Antártico	¿Cuántos cromosomas tiene un humano?	46	¿Qué animal tiene el embarazo más largo?	Elefante	¿Es ético comer carne?	Sí o No
¿Cuántos corazones tiene un pulpo?	Tres	¿Cuántos dientes tiene un adulto?	32	¿Cuál es la capital de Argentina?	Buenos Aires	¿Quién escribió "Los viajes de Gulliver"?	Swift	¿Qué civilización inventó el papel?	China	¿Qué país tiene más Patrimonios UNESCO?	Italia	¿El cambio climático es reversible?	Sí o No
¿Cuántos huesos tiene un humano?	206	¿Cuál es el idioma oficial de Brasil?	Portugués	¿Qué animal representa a Australia?	Canguro	¿Qué significa ADN?	Ácido desoxirribonucleico	¿En qué año cayó Constantinopla?	1453	¿Qué médico descubrió la penicilina?	Fleming	¿Las pirámides fueron construidas por alienígenas?	No
¿Cuántos pulmones tiene un humano?	Dos	¿Cuál es la capital de España?	Madrid	¿En qué año nació Einstein?	1879	¿Qué elemento tiene símbolo Fe?	Hierro	¿Cuál es el país más frío del mundo?	Rusia	¿Cuál es el hueso más largo?	Fémur	¿Es real la teoría del Big Bang?	Sí o No
¿Cuántas alas tiene una mariposa?	Cuatro	¿Cuántas estaciones tiene un año?	Cuatro	¿Cuál es la raíz cuadrada de 64?	8	¿Cuál es el país más poblado?	India	¿Quién pintó "La persistencia de la memoria"?	Dalí	¿Qué es más rápido, luz o sonido?	Luz	¿Debe existir la pena de muerte?	Sí o No
¿Cuántos dientes tiene un niño?	20	¿Qué gas es más ligero que el aire?	Helio	¿Qué país tiene la Gran Muralla?	China	¿Quién escribió "Cien años de soledad"?	García Márquez	¿Cuántos vértices tiene un cubo?	Ocho	¿Qué es el ADN?	Material genético	¿Es la astrología una ciencia?	No
¿Cuántos tentáculos tiene un calamar?	Diez	¿Qué color tienen las naranjas?	Naranja	¿Cuántos huesos tiene una mano?	27	¿Quién escribió "Hamlet"?	Shakespeare	¿Cuántos lados tiene un pentágono?	Cinco	¿Quién pintó "La noche estrellada"?	Van Gogh	¿Debe prohibirse la inteligencia artificial?	No
¿Cuántos brazos tiene un pulpo?	Ocho	¿Qué gas exhalamos al respirar?	CO₂	¿Qué país inventó la pizza?	Italia	¿Quién escribió "Los tres mosqueteros"?	Dumas	¿Cuál es la capital de Japón?	Tokio	¿Qué planeta tiene anillos?	Saturno	¿Es la felicidad una elección?	Sí
¿Cuántos huesos tiene un gato?	230	¿Qué color tienen los flamencos?	Rosa	¿Cuál es el océano más pequeño?	Ártico	¿Quién pintó la Capilla Sixtina?	Miguel Ángel	¿Cuál es la capital de Argentina?	Buenos Aires	¿Quién descubrió la penicilina?	Fleming	¿Debe legalizarse la eutanasia?	Sí
¿Cuántos cuernos tiene un rinoceronte?	Uno o dos	¿Qué animal pone huevos y da leche?	Ornitorrinco	¿Cuántos estados tiene México?	32	¿Cuál es el metal más abundante en la Tierra?	Aluminio	¿Cuál es el hueso más largo del cuerpo?	Fémur	¿Quién creó la teoría del Big Bang?	Lemaître	¿Debe haber límites en la libertad de expresión?	Sí
¿Cuántos ojos tiene una araña?	Ocho	¿De qué color es la nieve?	Blanco	¿Cuántos lados tiene un hexágono?	Seis	¿En qué año terminó la Segunda Guerra Mundial?	1945	¿Cuál es el río más largo de México?	Bravo	¿Quién escribió "Don Quijote"?	Cervantes	¿Debe México volver a ser imperio?	No
¿Cuántos corazones tiene un calamar?	Tres	¿Qué planeta es conocido como el rojo?	Marte	¿En qué continente está Egipto?	África	¿Quién descubrió la gravedad?	Newton	¿Qué océano rodea a Sudamérica?	Pacífico	¿Cuál es el metal más caro del mundo?	Rodio	¿Es el ajedrez un deporte?	Sí
¿Cuántos anillos tiene Saturno?	Varios	¿Qué color tiene el oro?	Amarillo	¿En qué país se originó el fútbol?	Inglaterra	¿Cuántos lados tiene un octágono?	Ocho	¿Cuál es el símbolo del oxígeno?	O	¿Quién pintó "La última cena"?	Da Vinci	¿Es la filosofía más útil que la ciencia?	No
¿Cuántos huesos tiene un bebé?	300	¿Cuántas patas tiene una mariposa?	Seis	¿En qué año cayó Tenochtitlán?	1521	¿Qué país tiene forma de bota?	Italia	¿Cuál es la capital de Canadá?	Ottawa	¿Quién desarrolló la teoría de la relatividad?	Einstein	¿Debe la educación ser gratuita?	Sí
¿Cuántos pulmones tiene un humano?	Dos	¿Qué gas necesitamos para respirar?	Oxígeno	¿Qué animal es símbolo de la sabiduría?	Búho	¿Cuál es el idioma más hablado en el mundo?	Inglés	¿Qué desierto es el más caliente del mundo?	Sahara	¿Cuál es el animal más grande?	Ballena azul	¿Debe eliminarse la monarquía en el mundo?	Sí
¿Qué invento revolucionó la impresión de libros?	Imprenta	¿Qué famoso detective creó Arthur Conan Doyle?	Sherlock Holmes	¿En qué año llegó el hombre a la Luna?	1969	¿Cuál es el desierto más caluroso del mundo?	Sahara	¿Cuántos músculos hay en el cuerpo humano?	Más de 600	¿Qué animal puede vivir sin cabeza por días?	Cucaracha	¿Puede la mente existir sin el cuerpo?	Filosófico
¿Qué instrumento mide la presión atmosférica?	Barómetro	¿Cuántos dientes tiene un adulto promedio?	32	¿Qué país tiene más volcanes activos?	Indonesia	¿Cuál es el planeta más grande del sistema solar?	Júpiter	¿Qué animal puede regenerar sus extremidades?	Estrella de mar	¿Qué científico descubrió la penicilina?	Alexander Fleming	¿Es la tecnología una bendición o una maldición?	Depende
¿Cuál es el nombre del satélite natural de la Tierra?	Luna	¿Qué insecto es conocido por su capacidad de levantar muchas veces su peso?	Hormiga	¿Cuántos colores hay en el arcoíris?	Siete	¿Qué océano separa América de Europa?	Atlántico	¿Quién escribió "Romeo y Julieta"?	Shakespeare	¿Qué material es usado para fabricar vidrio?	Arena de sílice	¿Es posible predecir el futuro con precisión?	No
¿Qué tipo de energía usan los paneles solares?	Solar	¿Cuál es la moneda de Japón?	Yen	¿Qué científico propuso la teoría de la evolución?	Darwin	¿Qué continente tiene más países?	África	¿Cuál es el metal que se usa en los cables eléctricos?	Cobre	¿Qué pez puede inflarse para defenderse?	Pez globo	¿La inteligencia es innata o adquirida?	Ambas
¿Qué estructura protege al cerebro?	Cráneo	¿Cuál es el único mamífero que puede volar?	Murciélago	¿Qué capa de la atmósfera nos protege de los rayos UV?	Ozono	¿Cuántos continentes hay en el mundo?	Siete	¿Qué gas es esencial para la combustión?	Oxígeno	¿Cuál es el sentido más desarrollado en los perros?	Olfato	¿Es la felicidad un objetivo o un estado?	Depende
¿Cuántos continentes hay en el mundo?	Siete	¿Cuál es el símbolo químico del oro?	Au	¿Cuántos planetas hay en el sistema solar?	Ocho	¿Quién pintó "El Grito"?	Munch	¿Qué gas es fundamental para la fotosíntesis?	CO₂	¿Cuál es el planeta más grande del sistema solar?	Júpiter	¿Es el destino real o una ilusión?	Ilusión
